,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3278,1,1199.0,79.0,1278.0,18,215.82,983.18,1,purple
3279,1,395.0,65.0,460.0,17,67.15,327.85,0,pink
3280,1,364.0,89.0,453.0,13,47.32,316.68,0,pink
3281,1,320.0,89.0,409.0,18,57.6,262.4,0,pink
3282,1,576.0,79.0,655.0,17,97.92,478.08,3,black
3283,1,640.0,89.0,729.0,17,108.8,531.2,3,black
3284,1,285.0,89.0,374.0,18,51.3,233.7,0,pink
3285,1,140.0,79.0,219.0,18,25.2,114.8,2,dark purple
3286,1,705.0,79.0,784.0,13,91.65,613.35,3,black
3287,3,1437.0,89.0,1526.0,13,186.81,1250.19,1,purple
3288,1,479.0,79.0,558.0,13,62.27,416.73,0,pink
3289,1,479.0,89.0,568.0,13,62.27,416.73,0,pink
3290,1,705.0,89.0,794.0,13,91.65,613.35,3,black
3291,1,494.0,79.0,573.0,13,64.22,429.78,0,pink
3292,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3293,1,399.0,89.0,488.0,13,51.87,347.13,0,pink
3294,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3295,1,700.0,89.0,789.0,13,91.0,609.0,3,black
3296,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3297,1,320.0,89.0,409.0,17,54.4,265.6,0,pink
3298,1,638.5,89.0,727.5,13,83.005,555.495,3,black
3299,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3300,1,700.0,89.0,789.0,13,91.0,609.0,3,black
3301,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3302,1,1100.0,79.0,1179.0,13,143.0,957.0,1,purple
3303,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3304,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3305,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3306,1,144.0,89.0,233.0,18,25.92,118.08,2,dark purple
3307,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3308,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3309,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3310,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3311,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3312,1,144.0,79.0,223.0,18,25.92,118.08,2,dark purple
3313,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3314,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3315,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3316,1,479.0,79.0,558.0,13,62.27,416.73,0,pink
3317,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3318,1,144.0,89.0,233.0,18,25.92,118.08,2,dark purple
3319,1,144.0,79.0,223.0,18,25.92,118.08,2,dark purple
3320,1,144.0,89.0,233.0,18,25.92,118.08,2,dark purple
3321,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3322,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3323,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3324,1,144.0,89.0,233.0,18,25.92,118.08,2,dark purple
3325,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3326,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
